Authors,Study Name,# of Patients,# of Lesions,Study Design,Inclusion Criteria,Mean Age,Specificity,Sensitivity,Year,Description,Accuracy,MP,PE,
Arora et al.,,92,94,Prospective cohort,Scheduled for biopsy,51,44,90,2008,,,,,
Button et al.,,29,29,Prospective cohort,Scheduled for biopsy,NR,57,75,2004,,,,,
Keyserlingk et al.,,200,200,Retrospective case–control,Confirmed diagnosis,53,81,83,1998,,,,,
Kontos et al.,,126,126,Prospective cohort,Breast symptoms,48,85,25,2011,,,,,
Parisky et al.,,769,875,Prospective cohort,Scheduled for biopsy,NR,14,96,2003,,,,,
Tang et al.,,117,117,NR Cohort,Scheduled for biopsy,NR,44,94,2008,,,,,
Wang et al.,,276,298,Prospective cohort,Scheduled for biopsy,51,77,79,2010,,,,,
Wishart et al.,,100,106,Prospective cohort,Scheduled for biopsy,57,49,71,2010,,,,,
Kolaric ́ et al.,,26,,,,,79,100,2013,,92,2b,2,
Francis et al.,,22,,,,,85.71,88.1,2013,,,3b,3,
Nicandro et al.,,,,,,,37,82,2013,,71.88,4b,3,
Sella et al.,,434,,,,,72.5,90.9,2013,,,3b,3,
Francis et al.,,27,,,,,77.78,88.89,2012,,85.19,3b,3,
Acharya et al.,,,,,,,84,76,2012,,90,3b,3,
Boquete et al.,,,,,,,94.7,100,2012,,,3b,4,
Acharya et al.,,,,,,,90.48,85.71,2012,,88.1,3b,3,
Mookiah et al.,,,,,,,100,86.7,2011,,93.3,3b,3,
Kontos et al.,,,,,,,85,25,2011,,,3b,2,
Wishart et al.,,,,,,,75,78,2010,,,3b,3,
Schaefer et al.,,,,,,,99.15,93.1,2009,,80,3b,3,
Arora et al.,,,,,,,44,97,2008,,,3b,3,
Tan et al.,,,,,,,60,100,2007,,94.74,3b,4,
Ng et al.,,,,,,,88.2,81.2,2007,,80.95,3b,3,
Ng et al.,,,,,,,88.2,81.2,2003,,80.9,3b,3,
Ng et al.,,,,,,,67,54,2001,,59,3b,2,
Gros et al.,,"58,000",,,,,90,88,1980,,,,,
Schaefer et al.,,,,,,,78.31,75.89,2008,,,,,
Haberman,,"16,409",,,,,87,87,1968,,,,,
Williams et al.,,176,,,,,,95,1964,,,,,
Swearingen et al.,,100,,,,,,100,1965,,,,,
Brasfield et al.,,150,,,,,,66,1965,,,,,
Gershon-Cohen et al.,,4000,,,,,94,94,1967,,,,,
Notter et al.,,154,,,,,,98,1966,,,,,
Harris et al.,,100,,,,,,89,1966,,,,,
Seaman et al.,,,,,,,,79,1968,,,,,
Hoffman et al.,,1924,,,,,,75,1967,,,,,
Hitchcock et al.,,2523,,,,,,25,1968,,,,,
Isard et al.,,2696,,,,,,72,1968,,,,,
Wallace et al.,,4413,,,,,,87,1964,,,,,
Madsen et al.,,173,,,,,,75,1968,,,,,
Lilienfeld et al.,,3518,,,,,79.8,72.1,1969,,,,,
"Feig, et al. ",,16000,,,,,,75,1978,,,,,
Keyserlin et al.,,100,,,,,,83,2000,,,,,
Jones,,,,,,,87,85,1983,,,,,
Mariel et al.,,655,,,,,,82,1981,,,,,
Nyirjesy et al.,,8767,,,,,,76,1984,,,,,
Bothmann et al.,,2702,,,,,,68,1984,,,,,
Useki,,372,,,,,67.8,87.8,1986,,,,,
Borchartt et al.,,,,,,,25,95.8,2011,,,,,
Umadevi et al.,,,,,,,97.7,66.7,2010,,,,,
Zadeh et al.,,,,,,,99,100,2016,,,,,
Krawczyk et al.,,,,,,,94.82,80.64,2012,,,,,
Arajo et al.,,,,,,,86.5,85.7,2014,,,,,
Prasad et al.,,,,,,,,92.31,2016,,,,,
Omranipour et al.,,,,,,,57.8,81.6,2016,,,,,
Krithika et al.,,,,,,,,97,2016,,,,,
Prabha et al.,,,,,,,,98,2015,,,,,
Krawczyk et al.,,150,,,,,89.44,83.1,2015,,,,,
Kazerouni et al.,,400,,,,,98,100,2014,,,,,
Rassiwala et al.,,1008,,,,,97.6,99.17,2014,,,,,
Acharya et al.,,,,,,,92,88,2012,,90,3b,3,
Francis et al.,,22,,,,,81.82,100,2014,,,3b,3,
Williams et al.,,"10,238",,,,,61,74,1990,,,,,
