year,count
2017,104
2016,280
2015,275
2014,279
2013,275
2012,227
2011,187
2010,200
2009,205
2008,184
2007,217
2006,186
2005,168
2004,133
2003,148
2002,97
2001,95
2000,82
1999,79
1998,95
1997,74
1996,75
1995,81
1994,78
1993,102
1992,133
1991,150
1990,147
1989,161
1988,126
1987,184
1986,159
1985,181
1984,153
1983,125
1982,189
1981,180
1980,192
1979,173
1978,161
1977,186
1976,172
1975,222
1974,181
1973,164
1972,152
1971,138
1970,167
1969,142
1968,95
1967,81
1966,52
1965,33
1964,33
1963,3
1961,1
1959,1
1957,1
1951,1
